# bpf_func_proto slice — ground-truth source 3.
# GENERATED, do not edit by hand:
#   cargo run -p pipeline --example extract_protos -- <kernel_src> <this file>
# Mechanically extracted from a bpf-next checkout by
# pipeline::groundtruth::helper_proto::extract_from_tree.
#
# Columns: helper <TAB> arg_index(0-based) <TAB> arg_type(ARG_*) <TAB> expected_regtype
#
# INCLUSION RULE (the reviewable judgement; see SINGLE_FAMILY_ARG_TYPES in
# helper_proto.rs): an arg becomes a contract ONLY when its arg_type pins it to
# exactly ONE verifier reg-type family. ARG_ANYTHING, ARG_PTR_TO_MEM variants,
# map key/value pointers and BTF/sock/timer pointers are DROPPED — asserting a
# single family there would manufacture false positives. Dropped means the diff
# stage cannot corroborate and stays silent, which is not "no violation".
#
# 274 contracts across 194 helpers.
# ----------------------------------------------------------------------
bpf_bind	0	ARG_PTR_TO_CTX	ctx
bpf_bind	2	ARG_MEM_SIZE	scalar
bpf_btf_find_by_name_kind	1	ARG_MEM_SIZE	scalar
bpf_cgrp_storage_delete	0	ARG_CONST_MAP_PTR	map_ptr
bpf_cgrp_storage_get	0	ARG_CONST_MAP_PTR	map_ptr
bpf_clone_redirect	0	ARG_PTR_TO_CTX	ctx
bpf_copy_from_user	1	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_copy_from_user_task	1	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_csum_diff	1	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_csum_diff	3	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_csum_level	0	ARG_PTR_TO_CTX	ctx
bpf_csum_update	0	ARG_PTR_TO_CTX	ctx
bpf_current_task_under_cgroup	0	ARG_CONST_MAP_PTR	map_ptr
bpf_d_path	2	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_dynptr_data	2	ARG_CONST_ALLOC_SIZE_OR_ZERO	scalar
bpf_dynptr_from_mem	1	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_dynptr_read	1	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_dynptr_write	3	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_event_output_data	0	ARG_PTR_TO_CTX	ctx
bpf_event_output_data	1	ARG_CONST_MAP_PTR	map_ptr
bpf_event_output_data	4	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_flow_dissector_load_bytes	0	ARG_PTR_TO_CTX	ctx
bpf_flow_dissector_load_bytes	3	ARG_MEM_SIZE	scalar
bpf_for_each_map_elem	0	ARG_CONST_MAP_PTR	map_ptr
bpf_get_attach_cookie	0	ARG_PTR_TO_CTX	ctx
bpf_get_branch_snapshot	1	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_get_cgroup_classid	0	ARG_PTR_TO_CTX	ctx
bpf_get_current_comm	1	ARG_MEM_SIZE	scalar
bpf_get_func_arg	0	ARG_PTR_TO_CTX	ctx
bpf_get_func_arg_cnt	0	ARG_PTR_TO_CTX	ctx
bpf_get_func_ret	0	ARG_PTR_TO_CTX	ctx
bpf_get_hash_recalc	0	ARG_PTR_TO_CTX	ctx
bpf_get_local_storage	0	ARG_CONST_MAP_PTR	map_ptr
bpf_get_ns_current_pid_tgid	3	ARG_MEM_SIZE	scalar
bpf_get_route_realm	0	ARG_PTR_TO_CTX	ctx
bpf_get_socket_cookie	0	ARG_PTR_TO_CTX	ctx
bpf_get_socket_cookie_sock	0	ARG_PTR_TO_CTX	ctx
bpf_get_socket_cookie_sock_addr	0	ARG_PTR_TO_CTX	ctx
bpf_get_socket_cookie_sock_ops	0	ARG_PTR_TO_CTX	ctx
bpf_get_socket_uid	0	ARG_PTR_TO_CTX	ctx
bpf_get_stack	0	ARG_PTR_TO_CTX	ctx
bpf_get_stack	2	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_get_stack_sleepable	0	ARG_PTR_TO_CTX	ctx
bpf_get_stack_sleepable	2	ARG_MEM_SIZE_OR_ZERO	scalar
bpf_get_stackid	0	ARG_PTR_TO_CTX	ctx
bpf_get_stackid	1	ARG_CONST_MAP_PTR	map_ptr
